state_name1,state_name2,state_name1_alpha_3,state_name2_alpha_3,y,x,yend,xend,pairs,n
Morocco,Sudan,MAR,SDN,32,-5,15,30,Morocco-Sudan,104
Morocco,Iraq,MAR,IRQ,32,-5,33,44,Morocco-Iraq,107
Morocco,Egypt,MAR,EGY,32,-5,27,30,Morocco-Egypt,89
Morocco,Lebanon,MAR,LBN,32,-5,33.83333333,35.83333333,Morocco-Lebanon,107
Morocco,Jordan,MAR,JOR,32,-5,31,36,Morocco-Jordan,107
Morocco,Saudi Arabia,MAR,SAU,32,-5,25,45,Morocco-Saudi Arabia,107
Morocco,Yemen,MAR,YEM,32,-5,15,48,Morocco-Yemen,46
Morocco,Kuwait,MAR,KWT,32,-5,29.5,45.75,Morocco-Kuwait,101
Morocco,Qatar,MAR,QAT,32,-5,25.5,51.25,Morocco-Qatar,84
Morocco,United Arab Emirates,MAR,ARE,32,-5,24,54,Morocco-United Arab Emirates,93
Morocco,Oman,MAR,OMN,32,-5,21,57,Morocco-Oman,42
Algeria,Tunisia,DZA,TUN,28,3,34,9,Algeria-Tunisia,145
Algeria,Libya,DZA,LBY,28,3,25,17,Algeria-Libya,134
Algeria,Sudan,DZA,SDN,28,3,15,30,Algeria-Sudan,100
Algeria,Iraq,DZA,IRQ,28,3,33,44,Algeria-Iraq,100
Algeria,Egypt,DZA,EGY,28,3,27,30,Algeria-Egypt,82
Algeria,Lebanon,DZA,LBN,28,3,33.83333333,35.83333333,Algeria-Lebanon,100
Algeria,Jordan,DZA,JOR,28,3,31,36,Algeria-Jordan,100
Algeria,Saudi Arabia,DZA,SAU,28,3,25,45,Algeria-Saudi Arabia,100
Algeria,Yemen,DZA,YEM,28,3,15,48,Algeria-Yemen,46
Algeria,Kuwait,DZA,KWT,28,3,29.5,45.75,Algeria-Kuwait,98
Algeria,Qatar,DZA,QAT,28,3,25.5,51.25,Algeria-Qatar,84
Algeria,United Arab Emirates,DZA,ARE,28,3,24,54,Algeria-United Arab Emirates,90
Algeria,Oman,DZA,OMN,28,3,21,57,Algeria-Oman,42
Tunisia,Libya,TUN,LBY,34,9,25,17,Tunisia-Libya,146
Tunisia,Sudan,TUN,SDN,34,9,15,30,Tunisia-Sudan,104
Tunisia,Iraq,TUN,IRQ,34,9,33,44,Tunisia-Iraq,115
